# Vuelta 74, TAREA 3: la relectura de fidelidad (D.30) de los tres nodos de cap_13 de scott_radical_candor que d084 nombra
# (contar_cuatro_historias_propias_ver_hueco_intencion, dar_elogio_disciplina_igual_critica, medir_critica_respuesta_oyente_brujula),
# que VIVEN EN EL GRAFO: paso a paso contra fuentes/scott_radical_candor/cap_13.md, leido entero en esta vuelta. Formato de
# .v73ext/fidelidad.tsv. Marca: T transcripcion, P puente (entero o de clausula; la clausula reescrita CUENTA como P, ACTA 62 62.5;
# la posibilidad convertida en orden tambien, D71.9 y D73.3). La nota abre con el arranque literal de la cita, que localiza
# .v74ext/citas.sh. Lo marcado DISCUTIBLE se marco al escribir la fila, antes de ninguna comprobacion. NINGUN NODO SE CORRIGE:
# un P se trae con su texto, su linea y la correccion propuesta (encargo TAREA 3.2).
# id | paso | marca | linea | lo que decide la marca
contar_cuatro_historias_propias_ver_hueco_intencion | 1 | T | L43 | Storytelling is a great way to develop both self-awareness and relational awareness ... Y el por que funciona que el paso anuncia es el why it works de la misma linea, que el libro pone antes del ejercicio
contar_cuatro_historias_propias_ver_hueco_intencion | 12 | T | L51 | The regret you feel recalling the incident ... Arrepentimiento y vulnerabilidad construyen la consciencia de la relacion
contar_cuatro_historias_propias_ver_hueco_intencion | 13 | T | L53 | Finally, and hardest of all, think of your Manipulative Insincerity story ... Las dos preguntas del paso son las dos del libro
contar_cuatro_historias_propias_ver_hueco_intencion | 14 | T | L53 | It’s really hard to see yourself as backstabbing ... Y we are all guilty of these behaviors from time to time, en la misma linea
contar_cuatro_historias_propias_ver_hueco_intencion | 15 | T | L55 | When people unpack their own stories, and share them with their teams ... El gap between their intentions and the impact de la misma linea
contar_cuatro_historias_propias_ver_hueco_intencion | 16 | T | L55 | Awareness is the first step toward change ... Y You can make your impact align with your intentions, en la misma linea
contar_cuatro_historias_propias_ver_hueco_intencion | 17 | T | L57 | Every person is different ... Y You’ve got to adjust how you talk so that you can be clear and kind, sin sentirte camaleon, en la misma linea
dar_elogio_disciplina_igual_critica | 1 | T | L251 | criticism is like your brake and praise is like your accelerator ... Las cuatro frases del paso son las cuatro de la linea
dar_elogio_disciplina_igual_critica | 2 | T | L267 | reluctant to praise others because it’s much easier to look ... Y The goal of guidance is to help others succeed, en la misma linea
dar_elogio_disciplina_igual_critica | 3 | T | L269 | Other times people use praise as a weapon ... El ejemplo, el autobus y They will not get a repetition of the success, todo de la misma linea
dar_elogio_disciplina_igual_critica | 4 | T | L269 | Good praise is specific and sincere, and inspires others rather than making odious comparisons ... Transcripcion en imperativo
dar_elogio_disciplina_igual_critica | 5 | T | L271 | The focus on praise requires real discipline ... Y la tentacion de dar critica despues de pedirla, en la misma linea
dar_elogio_disciplina_igual_critica | 6 | T | L271 | very often the thing that has been bothering you has been bothering you for so long ... Y If all you can see is the negative, en la misma linea
dar_elogio_disciplina_igual_critica | 7 | T | L271 | So focus on the good stuff ... Praise first, en la misma linea
dar_elogio_disciplina_igual_critica | 8 | T | L273 | praise helps people focus on their strengths ... Transcripcion
dar_elogio_disciplina_igual_critica | 9 | T | L273 | Sometimes, you have to make sure a person gets to a level of proficiency ... Transcripcion
dar_elogio_disciplina_igual_critica | 10 | T | L273 | you get more bang for the buck out of focusing on strengths than weaknesses ... Transcripcion
dar_elogio_disciplina_igual_critica | 11 | T | L273 | Praise reveals what works and makes it usable, repeatable ... Y it’s practical, how a strength can lead to success, cares personally y challenges directly, todo de la misma linea
dar_elogio_disciplina_igual_critica | 12 | T | L277 | borrowed from Karen Sipprell ... La pregunta y The answer, typically, is none at all, de la misma linea
dar_elogio_disciplina_igual_critica | 13 | T | L279 | When you’re vague with praise, it is just as likely to leave a person feeling patronized ... Y An empty great job can sound condescending, en la misma linea
dar_elogio_disciplina_igual_critica | 14 | T | L279 | Specific praise helps the person and the team understand what success looks like ... Y It gives ambitious team members a model to follow
dar_elogio_disciplina_igual_critica | 15 | T | L279 | the guidelines for giving Radically Candid feedback work for both praise and criticism ... Las tres pautas del paso son las tres de la linea
dar_elogio_disciplina_igual_critica | 16 | T | L283 | Pair up with a colleague and share one specific piece of praise with each other ... Transcripcion
dar_elogio_disciplina_igual_critica | 17 | P | L283 | We’ve found that people walk away from this exercise feeling seen, connected, and inspired ... PUENTE de clausula: el paso dice lo que el texto ha medido, y el libro dice We’ve found y We’ve heard, que es lo que vieron en sus talleres y no una medida. Lo demas del paso es transcripcion. Propuesta: Cuenta con lo que el texto dice haber visto en ese ejercicio. DISCUTIBLE D74.6
dar_elogio_disciplina_igual_critica | 18 | T | L285 | It’s actually not hard to find things to praise each other for ... Y set an intention, get curious, say something really specific, en la misma linea
dar_elogio_disciplina_igual_critica | 19 | T | L285 | Thanks for asking that question about being late for meetings ... Y el de la hija, en la misma linea
dar_elogio_disciplina_igual_critica | 20 | T | L287 | While the primary purpose of praise is to show people what direction we’re headed in ... Y It’s a fast, easy way to build the skill of giving voice to the things you appreciate, en la misma linea
medir_critica_respuesta_oyente_brujula | 1 | T | L291 | Radical Candor gets measured not at your mouth but at the other person’s ear ... Transcripcion
medir_critica_respuesta_oyente_brujula | 2 | T | L293 | there are no words that serve simultaneously as a scalpel and emotional Novocain ... Y el People often hoped there were some magic words del arranque de la linea
medir_critica_respuesta_oyente_brujula | 3 | T | L293 | Sometimes Radical Candor will sting a little bit ... Los dos casos y lo que toca en cada uno, de la misma linea
medir_critica_respuesta_oyente_brujula | 4 | T | L295 | use the Radical Candor framework like a compass ... El libro dice You can, however, use: el can es el que se opone a que no haya palabras magicas, y la frase siguiente de la linea ya va en imperativo, Pay close attention. DISCUTIBLE D74.7
medir_critica_respuesta_oyente_brujula | 5 | T | L295 | Pay close attention to the other person’s response to what you’ve said ... Transcripcion
medir_critica_respuesta_oyente_brujula | 6 | T | L297 | The way you listen is more important than the way you talk ... Transcripcion
medir_critica_respuesta_oyente_brujula | 7 | T | L297 | When offering Compassionate Candor, start gently and then gauge the other person’s response ... Los cuatro medios del paso son los cuatro de la linea, y las dos preguntas tambien
medir_critica_respuesta_oyente_brujula | 8 | T | L297 | You cannot do this if you are on your phone or on your computer ... El parentesis del final de la linea
medir_critica_respuesta_oyente_brujula | 9 | T | L299 | If the person you’re talking to seems sad, this is your cue ... Transcripcion
medir_critica_respuesta_oyente_brujula | 10 | T | L299 | This is hard because when confronted with someone who seems upset ... Y Instead, now is your time to show that you care, en la misma linea
medir_critica_respuesta_oyente_brujula | 11 | T | L301 | Using the framework like a compass can help keep you out of the Ruinous Empathy trap ... El can help va en el paso como para no caer, que es su fin y no una orden nueva. DISCUTIBLE D74.7
medir_critica_respuesta_oyente_brujula | 12 | T | L303 | when you get an angry response from the person you’re talking to ... Y attend to the emotions in the room, to show that you care personally
medir_critica_respuesta_oyente_brujula | 13 | T | L303 | This is hard because when the other person is angry ... Y Nothing will move you down on the Care Personally axis faster than anger
medir_critica_respuesta_oyente_brujula | 14 | T | L305 | One way to show you care when confronted with negative emotions is to name the emotion ... El paso dice la via que el texto da donde el libro dice One way, y el guion es el de la linea. DISCUTIBLE D74.8
medir_critica_respuesta_oyente_brujula | 15 | T | L305 | Don’t use my phrasing, use your own words ... Transcripcion
medir_critica_respuesta_oyente_brujula | 16 | T | L305 | Often just naming an emotion can help a person feel seen ... Y Ignoring emotions makes the other person feel invisible or invalidated
medir_critica_respuesta_oyente_brujula | 17 | T | L307 | you might misunderstand the emotion you’re seeing ... El ejemplar de Kim y So be humble when naming the emotion, de la misma linea
medir_critica_respuesta_oyente_brujula | 18 | T | L307 | And whatever you do, don’t judge the emotion ... Y Eliminate don’t take it personally from your vocabulary
medir_critica_respuesta_oyente_brujula | 19 | T | L307 | When all else fails, a simple response to negative emotions is to ask ... Transcripcion
medir_critica_respuesta_oyente_brujula | 20 | T | L309 | They are defensive or oblivious or hopelessly optimistic or overconfident or distracted ... Y This is your cue to move to the right on the Challenge Directly dimension
medir_critica_respuesta_oyente_brujula | 21 | T | L309 | Being extremely clear can feel harsh ... Y el mantra It’s not mean, it’s clear
medir_critica_respuesta_oyente_brujula | 22 | T | L311 | One thing that helps in these moments is to focus on the long term ... Transcripcion
medir_critica_respuesta_oyente_brujula | 23 | T | L313 | Sometimes when someone is shutting down it’s because they disagree ... Y Your first goal is to get them to tell you if they disagree
medir_critica_respuesta_oyente_brujula | 24 | T | L313 | There’s a risk that when you do this, the other person will come back at you aggressively ... Y If this happens, acknowledge that you are not perfect
medir_critica_respuesta_oyente_brujula | 25 | T | L313 | A useful mantra for giving criticism is listen-challenge-commit ... El paso de en medio es el challenge del Don’t skip over giving them an opportunity to challenge you
medir_critica_respuesta_oyente_brujula | 26 | T | L315 | Just to make sure we’re on the same page, can you tell me what you just heard ... Transcripcion del guion
medir_critica_respuesta_oyente_brujula | 27 | T | L315 | I don’t feel like I’m being heard ... Transcripcion del guion
medir_critica_respuesta_oyente_brujula | 28 | T | L315 | May I be much more direct with you ... Transcripcion del guion
medir_critica_respuesta_oyente_brujula | 29 | T | L319 | ONE MISTAKE THAT people often make is to draw attention to consequences for noncompliance ... Y el ejemplo del puesto en riesgo con su unfair consequence
medir_critica_respuesta_oyente_brujula | 30 | T | L319 | You’re trying to engage the person’s intrinsic desire to improve ... Y la pregunta del condenado sin juicio, en la misma linea
medir_critica_respuesta_oyente_brujula | 31 | T | L319 | if the problem is going to cause the person to be put on a performance-improvement plan ... Y the sooner you tell them the better
medir_critica_respuesta_oyente_brujula | 32 | T | L321 | It can also help to bring several specific examples of the problem ... El paso lo manda y conserva el ayuda del libro en su propia letra. DISCUTIBLE D74.7
medir_critica_respuesta_oyente_brujula | 33 | T | L321 | If you get interrupted after the first one with excuses ... El guion es el de la linea, con su algo como y su usa tus palabras, As always, use your own words, not ours
