# Vuelta 66, TAREA 3.1: la relectura de fidelidad ENTERA (D.30, D.58) de los 22 de cap_04, paso a paso contra
# fuentes/grove_high_output/cap_04.md leido entero en esta vuelta. Marca: T transcripcion, P puente (entero o de
# clausula; la clausula reescrita CUENTA como P, ACTA 62 62.5). Separador: barra vertical. Las citas del libro van
# recortadas con puntos suspensivos; la linea entera la localiza .v66ext/citas.sh, con su salida en .v66ext/citas_fidelidad.txt.
# id | paso | marca | linea | lo que decide la marca
reunir_informacion_gerencial_vias_variadas | 1 | T | L145 | I read standard reports and memos
programar_visita_area_observar_despachar | 6 | T | L157 | Mr. Clean inspections, in which they go to a part of the company that they normally would not visit
programar_visita_area_observar_despachar | 7 | T | L157 | examine the housekeeping, the arrangement of things, the labs, and the safety equipment
programar_visita_area_observar_despachar | 8 | T | L157 | spend an hour or so browsing around and getting acquainted with things firsthand. La hora es del libro
transmitir_objetivos_prioridades_preferencias | 1 | T | L159 | a manager not only gathers information but is also a source of it
transmitir_objetivos_prioridades_preferencias | 2 | T | L159 | He must convey his knowledge to members of his own organization and to other groups he influences
transmitir_objetivos_prioridades_preferencias | 3 | T | L159 | Beyond relaying facts, a manager must also communicate his objectives, priorities, and preferences
transmitir_objetivos_prioridades_preferencias | 4 | T | L159 | only if the manager imparts these will his subordinates know how to make decisions themselves
transmitir_objetivos_prioridades_preferencias | 5 | T | L159 | transmitting objectives and preferred approaches constitutes a key to successful delegation
empujar_persona_reunion_direccion_preferida | 1 | T | L167 | making a phone call to an associate suggesting that a decision be made in a certain way
empujar_persona_reunion_direccion_preferida | 2 | T | L167 | or sending a note or a memo that shows how you see a particular situation
empujar_persona_reunion_direccion_preferida | 3 | T | L167 | or making a comment during an oral presentation
empujar_persona_reunion_direccion_preferida | 4 | T | L167 | you may be advocating a preferred course of action, but you are not issuing an instruction or a command
empujar_persona_reunion_direccion_preferida | 5 | T | L167 | stronger than merely conveying information ... you nudge an individual or a meeting in the direction you would like
empujar_persona_reunion_direccion_preferida | 6 | T | L167 | carefully distinguished from decision-making that results in firm, clear directives
empujar_persona_reunion_direccion_preferida | 7 | T | L167 | for every unambiguous decision we make, we probably nudge things a dozen times
subir_productividad_gerencial_tres_vias | 1 | T | L195 | the output of a manager per unit of time worked
subir_productividad_gerencial_tres_vias | 2 | T | L197 | Increasing the rate with which a manager performs his activities, speeding up his work
subir_productividad_gerencial_tres_vias | 3 | T | L199 | Increasing the leverage associated with the various managerial activities
subir_productividad_gerencial_tres_vias | 4 | T | L201 | from those with lower to those with higher leverage
buscar_actividad_alta_palanca_tres_vias | 1 | T | L207 | These can be achieved in three basic ways, y L203 Let us consider first the leverage of various types of managerial work. El verbo repasa tus actividades buscando es marco mio sobre L203 (DISCUTIBLE D66.3)
buscar_actividad_alta_palanca_tres_vias | 2 | T | L209 | When many people are affected by one manager
buscar_actividad_alta_palanca_tres_vias | 3 | T | L211 | activity or behavior over a long period of time is affected by a manager ... brief, well-focused set of words or actions
buscar_actividad_alta_palanca_tres_vias | 4 | T | L213 | work is affected by an individual supplying a unique, key piece of knowledge or information
elegir_momento_actividad_palanca_maxima | 1 | T | L215 | leverage that depends, however, on when it is performed
elegir_momento_actividad_palanca_maxima | 2 | T | L215 | defines in advance exactly what information needs to be gathered and presented at each stage ... and lays out who is responsible for what. El responsable lo pone el libro
elegir_momento_actividad_palanca_maxima | 3 | T | L215 | directly affects the subsequent work of perhaps two hundred people ... eliminate confusion and ambiguity for a large population
elegir_momento_actividad_palanca_maxima | 4 | T | L215 | If Robin has to scramble later to help a manager define guidelines and milestones ... much less leverage
elegir_momento_actividad_palanca_maxima | 5 | T | L217 | when you learn that a valued subordinate has decided to quit ... you must direct yourself to the situation immediately
elegir_momento_actividad_palanca_maxima | 6 | T | L217 | If you put it off, all your chances are lost
elegir_momento_actividad_palanca_maxima | 7 | T | L217 | a manager must keep timeliness, which is often critical, firmly in mind
detectar_palanca_negativa_actividad_mando | 1 | T | L219 | Leverage can also be negative. Some managerial activities can reduce the output of an organization
detectar_palanca_negativa_actividad_mando | 2 | T | L219 | Suppose I am a key participant at a meeting and I arrive unprepared ... deprive the other participants
detectar_palanca_negativa_actividad_mando | 3 | T | L231 | The manager became depressed ... soon depression spread throughout his organization. Revisa si es marco sobre el inventario del libro, EXTRACTOR 9.1 (DISCUTIBLE D66.4)
detectar_palanca_negativa_actividad_mando | 4 | T | L231 | He snapped out of it only when someone on his staff finally told him what he was doing
detectar_palanca_negativa_actividad_mando | 5 | T | L231 | waffling, when a manager puts off a decision ... no green light is a red light. Revisa si, como el paso 3 (D66.4)
detectar_palanca_negativa_actividad_mando | 6 | T | L233 | Both the depressed and the waffling manager can have virtually unlimited negative leverage ... retraining the group
detectar_palanca_negativa_actividad_mando | 7 | T | L235 | a supervisor uses his superior knowledge and experience ... to assume command. Revisa si, como el paso 3 (D66.4)
detectar_palanca_negativa_actividad_mando | 8 | T | L235 | if a senior manager sees an indicator showing an undesirable trend and dictates ... that is managerial meddling
detectar_palanca_negativa_actividad_mando | 9 | T | L235 | the subordinate will begin to take a much more restricted view ... referring them instead to his supervisor
delegar_tarea_base_comun_seguimiento | 1 | T | L245 | Because managerial time has a hierarchy of values, delegation is an essential aspect of management
delegar_tarea_base_comun_seguimiento | 2 | T | L245 | must share a common information base and a common set of operational ideas ... frequently not met. Antes de delegar, comprueba que es marco sobre el requisito del libro, como D66.4
delegar_tarea_base_comun_seguimiento | 3 | T | L245 | Unless both parties share the relevant common base ... this produces low managerial leverage
delegar_tarea_base_comun_seguimiento | 4 | T | L247 | really want to delegate simply because we like doing them
delegar_tarea_base_comun_seguimiento | 5 | T | L247 | based on a conscious decision ... avoid the charade of insincere delegation
delegar_tarea_base_comun_seguimiento | 6 | T | L249 | Before answering, consider the following principle: delegation without follow-through is abdication
delegar_tarea_base_comun_seguimiento | 7 | T | L249 | You can never wash your hands of a task ... monitoring the delegated task is the only practical way
delegar_tarea_base_comun_seguimiento | 8 | T | L249 | Monitoring is not meddling, but means checking to make sure an activity is proceeding in line with expectations
delegar_tarea_base_comun_seguimiento | 9 | T | L249 | if you have a choice you should delegate those activities you know best
delegar_tarea_base_comun_seguimiento | 10 | T | L249 | recall the pencil experiment and understand before the fact that this will very likely go against your emotional grain
supervisar_tarea_delegada_etapa_menor_valor | 1 | T | L253 | Monitoring the results of delegation resembles the monitoring used in quality assurance
supervisar_tarea_delegada_etapa_menor_valor | 2 | T | L253 | apply quality assurance principles and monitor at the lowest-added-value stage of the process
supervisar_tarea_delegada_etapa_menor_valor | 3 | T | L253 | review rough drafts of reports that you have delegated; do not wait until ... polishing them into final form
supervisar_tarea_delegada_etapa_menor_valor | 4 | T | L253 | A variable approach should be employed, using different sampling schemes with various subordinates
supervisar_tarea_delegada_etapa_menor_valor | 5 | T | L253 | increase or decrease your frequency depending on whether ... newly delegated task or one that he has experience handling
supervisar_tarea_delegada_etapa_menor_valor | 6 | T | L253 | should not be based on what you believe your subordinate can do in general, but on his experience with a specific task
supervisar_tarea_delegada_etapa_menor_valor | 7 | T | L253 | work improves over time, you should respond with a corresponding reduction in the intensity of the monitoring
supervisar_tarea_delegada_etapa_menor_valor | 8 | T | L255 | the manager should only go into details randomly, just enough to try to ensure
supervisar_tarea_delegada_etapa_menor_valor | 9 | T | L255 | To check into all the details ... like quality assurance testing 100 percent of what manufacturing turned out
supervisar_decision_delegada_preguntas_concretas | 1 | T | L257 | Making certain types of decisions is something managers frequently delegate to subordinates
supervisar_decision_delegada_preguntas_concretas | 2 | T | L257 | How is this best done? By monitoring their decision-making process
supervisar_decision_delegada_preguntas_concretas | 3 | T | L257 | We ask a subordinate to think through the entire matter carefully before presenting a request for approval
supervisar_decision_delegada_preguntas_concretas | 4 | T | L257 | we ask him quite specific questions about his request during a review meeting
supervisar_decision_delegada_preguntas_concretas | 5 | T | L257 | If he answers them convincingly ... approve what he wants
supervisar_decision_delegada_preguntas_concretas | 6 | T | L257 | This technique allows us to find out how good the thinking is without having to go through it ourselves
identificar_paso_limitante_jornada_desfases | 1 | T | L267 | These time-management suggestions can be improved upon ... by applying our production principles
identificar_paso_limitante_jornada_desfases | 2 | T | L267 | First, we must identify our limiting step: what is the ... egg ... in our work
identificar_paso_limitante_jornada_desfases | 3 | T | L267 | some things really have to happen on a schedule that is absolute ... There is no give in the time here
identificar_paso_limitante_jornada_desfases | 4 | T | L267 | I have to create offsets and schedule my other work around this limiting step
identificar_paso_limitante_jornada_desfases | 5 | T | L267 | if we determine what is immovable and manipulate the more yielding activities around it, we can work more efficiently
agrupar_tareas_semejantes_aprovechar_preparacion | 1 | T | L269 | A second production principle we can apply to managerial work is batching similar tasks
agrupar_tareas_semejantes_aprovechar_preparacion | 2 | T | L269 | Any manufacturing operation requires a certain amount of set-up time, y L271 Set-up time has many parallels in managerial work
agrupar_tareas_semejantes_aprovechar_preparacion | 3 | T | L269 | we should use the same set-up effort to apply across a group of similar activities
agrupar_tareas_semejantes_aprovechar_preparacion | 4 | T | L271 | once we have prepared a set of illustrations for a training class ... use the same set over and over again
agrupar_tareas_semejantes_aprovechar_preparacion | 5 | T | L271 | he should set aside a block of time and do a batch of them together, one after the other
agrupar_tareas_semejantes_aprovechar_preparacion | 6 | T | L271 | to maximize the use of the mental set-up time needed for the task
decir_no_trabajo_excede_capacidad | 1 | T | L277 | allow material to begin its journey through the factory if they think it is already operating at capacity
decir_no_trabajo_excede_capacidad | 2 | T | L277 | material might go halfway through and back up behind a bottleneck
decir_no_trabajo_excede_capacidad | 3 | T | L277 | at the outset and keep the start level from overloading the system
decir_no_trabajo_excede_capacidad | 4 | T | L277 | Other kinds of managers find this hard to apply because their indicators of capacity are not as well established
decir_no_trabajo_excede_capacidad | 5 | T | L277 | How much time do you need to read your mail ... you surely have a feel for the time required
decir_no_trabajo_excede_capacidad | 6 | T | L277 | And you should exploit that sense to schedule your work
decir_no_trabajo_excede_capacidad | 7 | T | L283 | 2. You should say no at the outset to work beyond your capacity to handle, con L279 que numera las dos responsabilidades
decir_no_trabajo_excede_capacidad | 8 | T | L285 | earlier rather than later because we ... losing more money and time
decir_no_trabajo_excede_capacidad | 9 | T | L285 | either explicitly or implicitly, because by not delivering
decir_no_trabajo_excede_capacidad | 10 | T | L285 | your time is your one finite resource ... inevitably saying
usar_calendario_herramienta_planificacion_produccion | 1 | T | L273 | job shop ... any customer who drops in ... A factory ... is usually run by forecast and not by individual order; el llevalo como una fabrica sale del final de la misma linea, like running an efficient factory
usar_calendario_herramienta_planificacion_produccion | 2 | T | L273 | a large portion of managerial work can be forecasted
usar_calendario_herramienta_planificacion_produccion | 3 | T | L273 | forecasting those things you can and setting yourself up to do them is only common sense ... fragmentation
usar_calendario_herramienta_planificacion_produccion | 4 | T | L275 | It is something very simple: his calendar
usar_calendario_herramienta_planificacion_produccion | 5 | T | L275 | Most people use their calendars as a repository of ... mindless passivity
usar_calendario_herramienta_planificacion_produccion | 6 | T | L275 | planning tool, taking a firm initiative to schedule work that is not time-critical between those ... limiting steps
usar_calendario_herramienta_planificacion_produccion | 7 | T | L281 | 1. You should move toward the active use of your calendar ... fill the holes between the time-critical events
llevar_inventario_proyectos_discrecionales | 1 | T | L289 | Another production principle is very nearly the opposite. A manager should carry a raw material inventory in terms of projects
llevar_inventario_proyectos_discrecionales | 2 | T | L289 | not to be confused with his work-in-process inventory ... tends to spoil or become obsolete over time
llevar_inventario_proyectos_discrecionales | 3 | T | L289 | need to finish right away
llevar_inventario_proyectos_discrecionales | 4 | T | L289 | discretionary projects, the kind the manager can work on to increase his group productivity over the long term
llevar_inventario_proyectos_discrecionales | 5 | T | L289 | Without such an inventory of projects, a manager will most probably use his free time meddling
dimensionar_numero_subordinados_medio_dia_semanal | 1 | T | L295 | An important component of managerial leverage is the number of subordinates ... bogged down, with the same result
dimensionar_numero_subordinados_medio_dia_semanal | 2 | T | L295 | six to eight subordinates; three or four are too few and ten are too many
dimensionar_numero_subordinados_medio_dia_semanal | 3 | T | L295 | a manager should allocate about a half day per week to each of his subordinates. El periodo lo pone el libro
dimensionar_numero_subordinados_medio_dia_semanal | 4 | T | L295 | Two days a week per subordinate would probably lead to meddling; an hour a week does not provide enough opportunity for monitoring
dimensionar_numero_subordinados_medio_dia_semanal | 5 | T | L297 | The six to eight rule is right for the classically hierarchical manager
dimensionar_numero_subordinados_medio_dia_semanal | 6 | T | L297 | a know-how manager ... servicing a number of varied customers as an internal consultant can in itself be a full-time job
dimensionar_numero_subordinados_medio_dia_semanal | 7 | T | L297 | anyone who spends about a half day per week as a member of a planning, advisory, or coordinating group has the equivalent of a subordinate
dimensionar_numero_subordinados_medio_dia_semanal | 8 | T | L297 | if a manager is both a hierarchical supervisor and a supplier of know-how ... six to eight subordinates or their equivalent
dimensionar_numero_subordinados_medio_dia_semanal | 9 | T | L299 | as one of the two subordinates, choosing to be his own engineering manager
dimensionar_numero_subordinados_medio_dia_semanal | 10 | T | L299 | the manufacturing manager will still report to him ... does not have the engineers appearing to be at the same organizational level. El colocalo de forma que pone de mandato el arreglo que el libro ensena dibujado (DISCUTIBLE D66.6)
dimensionar_numero_subordinados_medio_dia_semanal | 11 | T | L301 | This arrangement will avoid forcing the plant manager either into on-the-job retirement or into meddling
buscar_regularidad_bloques_iguales_trabajo_mando | 1 | T | L305 | The next important production concept we can apply to managerial work is to strive toward regularity
buscar_regularidad_bloques_iguales_trabajo_mando | 2 | T | L305 | breakfast factory ... steady and predictable stream ... we should try to smooth out our workload as much as possible
buscar_regularidad_bloques_iguales_trabajo_mando | 3 | T | L305 | make our managerial work take on the characteristics of a factory, not a job shop
buscar_regularidad_bloques_iguales_trabajo_mando | 4 | T | L305 | prevent little stops and starts in our day as well as interruptions brought on by big emergencies
buscar_regularidad_bloques_iguales_trabajo_mando | 5 | T | L305 | always be looking for sources of future high-priority trouble by cutting windows into the black box
buscar_regularidad_bloques_iguales_trabajo_mando | 6 | T | L305 | a time bomb on your hands means you can address a problem when you want to
buscar_regularidad_bloques_iguales_trabajo_mando | 7 | T | L307 | because you must coordinate your work with that of other managers, you can only move toward regularity if others do too
buscar_regularidad_bloques_iguales_trabajo_mando | 8 | T | L307 | the same blocks of time must be used for like activities
buscar_regularidad_bloques_iguales_trabajo_mando | 9 | T | L307 | at Intel Monday mornings have been set aside throughout the corporation as the time when planning groups meet
preparar_respuestas_estandar_interrupciones_repetidas | 1 | T | L315 | There are better ways. Let us apply a production concept. Manufacturers turn out standard products
preparar_respuestas_estandar_interrupciones_repetidas | 2 | T | L315 | if you can pin down what kind of interruptions
preparar_respuestas_estandar_interrupciones_repetidas | 3 | T | L315 | you can prepare standard responses for those that pop up most often
preparar_respuestas_estandar_interrupciones_repetidas | 4 | T | L315 | come up with totally new questions and problems day in and day out
preparar_respuestas_estandar_interrupciones_repetidas | 5 | T | L315 | a manager can reduce time spent handling interruptions using standard responses
preparar_respuestas_estandar_interrupciones_repetidas | 6 | T | L315 | Having them available also means that a manager can delegate much of the job to less experienced personnel
agrupar_interrupciones_subordinados_reuniones_regulares | 1 | T | L317 | handling a group of similar chores at one time
agrupar_interrupciones_subordinados_reuniones_regulares | 2 | T | L317 | many interruptions that come from your subordinates can be accumulated and handled not randomly
agrupar_interrupciones_subordinados_reuniones_regulares | 3 | T | L317 | but at staff and at one-on-one meetings
agrupar_interrupciones_subordinados_reuniones_regulares | 4 | T | L317 | If such meetings are held regularly. El libro lo pone de condicion y el paso lo pone de mandato (DISCUTIBLE D66.7)
agrupar_interrupciones_subordinados_reuniones_regulares | 5 | T | L317 | protest too much if they ... batch questions and problems for scheduled times
canalizar_interrupciones_cartel_hora_oficina | 1 | T | L321 | If the people who interrupt you knew how much they were disturbing you, they would probably police themselves more closely
canalizar_interrupciones_cartel_hora_oficina | 2 | T | L321 | force his frequent interrupters to make an active decision about whether an issue can wait
canalizar_interrupciones_cartel_hora_oficina | 3 | T | L321 | instead of going into hiding, a manager can hang a sign on his door ... until 2:00
canalizar_interrupciones_cartel_hora_oficina | 4 | T | L321 | Then hold an open office hour, and be completely receptive to anybody who wants to see you
canalizar_interrupciones_cartel_hora_oficina | 5 | T | L321 | understand that interrupters have legitimate problems that need to be handled
canalizar_interrupciones_cartel_hora_oficina | 6 | T | L321 | channel the time needed to deal with them into organized, scheduled form by providing an alternative to interruption
canalizar_interrupciones_cartel_hora_oficina | 7 | T | L323 | The point is to impose a pattern on the way a manager copes with problems
canalizar_interrupciones_cartel_hora_oficina | 8 | T | L323 | To make something regular that was once irregular is a fundamental production principle
