# ARISTAS POR LECTURA (D.29, D.37, D.53) DE LA VUELTA 71 para las 20 de cap_07, cap_10, cap_11, cap_12, cap_13 y cap_14: las
# que la senial NO levanta en ningun sentido en el barrido de hoy (.v71ext/vecinos_<id>.json, poblacion 479, 410 grafo mas 69
# bandejas). Las madres del grafo no se barrieron hoy, asi que "ningun sentido" quiere decir: el hijo no las levanta, y si la
# madre es de las 20, ella tampoco. Las que la senial SI levanta van como CONTINUA en .v71ext/veredictos_listos.txt y no aqui
# (las dos de definir_entorno_grupo_clientes_proveedores_competidores).
# Formato, el de .v68ext/aristas_lectura.txt: SOSTENGO o NO SOSTENGO | madre | hijo | paso de la madre y paso del hijo | linea del libro | razon
# Se cablean en la vuelta que inserte estas 20, en el acto de insertar el hijo, con la madre ya en el grafo:
# python forja.py arista --madre --hijo --paso --razon. Lo DISCUTIBLE se marco al escribir la fila.
NO SOSTENGO | elegir_estilo_direccion_madurez_relevante_tarea | fijar_frecuencia_reunion_individual_madurez_tarea | ninguno | cap_05 L33, cap_13 L19 | d170, aplicado como lo decidio la relectura conjunta de la vuelta 69 (D69.3, ACTA 68 68.5): la vecina del grafo no usa el estilo elegido que la madre produce, sino la madurez que mide ella misma en su paso 3. El barrido de hoy no levanta el par en ningun sentido (la madre no levanta a nadie, .v71ext/vecinos_elegir_estilo_direccion_madurez_relevante_tarea.json), asi que no hay linea de veredicto ni arista. SANO.
NO SOSTENGO | supervisar_tarea_delegada_etapa_menor_valor | elegir_estilo_direccion_madurez_relevante_tarea | vecina paso 6 | cap_04, cap_13 L19 | La vecina del grafo nombra la madurez relativa a la tarea para graduar cada cuanto supervisa lo delegado; la candidata elige el estilo de direccion por esa madurez. Comparten el criterio y no el objeto que deciden, la figura de D69.3. SANO.
NO SOSTENGO | delegar_tarea_base_comun_seguimiento | elegir_estilo_direccion_madurez_relevante_tarea | hijo paso 7 | cap_13 L25 | El paso 7 de la candidata nombra que la vigilancia es la diferencia entre delegar y abandonar (L25, as we've said before), que es el principio de la vecina del grafo; lo nombra en una linea y no usa su producto, que es una tarea delegada sobre una base comun. Nombrar no es procedimentar. SANO.
NO SOSTENGO | elegir_estilo_direccion_madurez_relevante_tarea | decidir_amistad_subordinado_prueba_revision_dificil | ninguno | cap_13 L75 | L75 nombra el estilo comunicador como lo que la amistad facilita, pero la condicion de la vecina es dudar si hacerse amigo de un subordinado, no haber elegido un estilo, y su prueba (L77) no usa la madurez ni el estilo. Hermanos del mismo capitulo. SANO.
NO SOSTENGO | tomar_notas_copia_guion_reunion_individual | preparar_resena_mixta_hoja_trabajo | hijo paso 1 | cap_14 L129 | El paso 1 de la candidata nombra las notas de las reuniones individuales entre el material que se repasa, junto a los informes de avance y los objetivos trimestrales; lo nombra y no usa el procedimiento de la vecina del grafo. SANO.
# D.37, mirado. Cinco titulos o textos dicen cuantas partes tienen y las nombran:
# planificar_tres_pasos_demanda_estado_brecha (tres pasos, L19): sus tres partes son nodos, y van las tres filas SOSTENGO de arriba.
# cerrar_brecha_dos_preguntas_estrategia (dos preguntas, L39) y contestar_dos_preguntas_direccion_objetivos (dos preguntas, L71 a
# L75): ninguna pregunta es un nodo; las dos cabezas solo cuentan y nombran, la figura de D68.7 que la conjunta de la 69 cerro sin
# arista. entregar_evaluacion_desempeno_tres_claves (tres eles, L107): las tres claves son los propios pasos del candidato, ninguna es
# un nodo. diagnosticar_capacidad_motivacion_prueba_vida (dos razones, L17): ninguna es un nodo. Ninguna otra arista cabeza a parte.
