# Vuelta 71, TAREA 2.1: la relectura de fidelidad ENTERA (D.30, D.58) de las 20 de cap_07, cap_10, cap_11, cap_12, cap_13 y
# cap_14, paso a paso contra su capitulo de fuentes/grove_high_output/, leido entero en esta vuelta. Marca: T transcripcion,
# P puente (entero o de clausula; la clausula reescrita CUENTA como P, ACTA 62 62.5). Separador: barra vertical. Formato de
# .v68ext/fidelidad.tsv. Las citas van recortadas; la linea la localiza .v71ext/citas.sh, con su salida en
# .v71ext/citas_fidelidad.txt. Lo marcado DISCUTIBLE se marco al escribir la fila, antes de ninguna comprobacion. Los P se
# marcan sobre el texto de la ficha tal como estaba al abrir la vuelta, y se corrigen despues en la ficha (TAREA 2.2).
# id | paso | marca | linea | lo que decide la marca
planificar_tres_pasos_demanda_estado_brecha | 1 | P | L19 | Your general planning process should consist of analogous thinking. La clausula y no sobre otra cosa no esta en el libro: la anadi yo. PUENTE de clausula, se retira (D71.3)
escalonar_complejidad_puesto_empleado_nuevo | 9 | T | L63 | They will gradually accept, even flourish in, the complex world of multiple bosses and peer decision-making
diagnosticar_capacidad_motivacion_prueba_vida | 1 | T | L17 | When a person is not doing his job, there can only be two reasons for it
diagnosticar_capacidad_motivacion_prueba_vida | 2 | T | L17 | To determine which, we can employ a simple mental test: if the person
diagnosticar_capacidad_motivacion_prueba_vida | 3 | T | L17 | If the answer is yes, that person is not motivated
diagnosticar_capacidad_motivacion_prueba_vida | 4 | T | L17 | if the answer is no, he is not capable
diagnosticar_nivel_motivacion_reaccion_aumento_salario | 1 | T | L85 | A simple test can be used to determine where someone is in the motivational hierarchy. El observa como reacciona a un aumento es el verbo de marco de la prueba, cuyo objeto es el aumento de las dos ramas siguientes (DISCUTIBLE D71.4)
diagnosticar_nivel_motivacion_reaccion_aumento_salario | 2 | T | L85 | If the absolute sum of a raise in salary an individual receives is important to him, he is working mostly within the physiological or safety modes
diagnosticar_nivel_motivacion_reaccion_aumento_salario | 3 | T | L85 | If, however, what matters to him is how his raise stacks up against what other people got
fijar_meta_direccion_objetivos_mitad_probabilidad | 1 | T | L75 | When the need to stretch is not spontaneous, management needs to create an environment to foster it
fijar_meta_direccion_objetivos_mitad_probabilidad | 2 | T | L75 | In an MBO system, for example, objectives should be set at a point high enough
fijar_meta_direccion_objetivos_mitad_probabilidad | 3 | T | L75 | Output will tend to be greater when everybody strives for a level of achievement beyond his immediate grasp
fijar_meta_direccion_objetivos_mitad_probabilidad | 4 | T | L75 | Such goal-setting is extremely important if what you want is peak performance from yourself and your subordinates
decidir_amistad_subordinado_prueba_revision_dificil | 1 | T | L75 | In fact, there are pluses and minuses here, y L77 Everyone must decide for himself what is professional and appropriate here
decidir_amistad_subordinado_prueba_revision_dificil | 2 | T | L75 | If the subordinate is a personal friend, the supervisor can move into a communicating management style quite easily
decidir_amistad_subordinado_prueba_revision_dificil | 3 | T | L75 | but the what-when-how mode becomes harder to revert to when necessary
decidir_amistad_subordinado_prueba_revision_dificil | 4 | T | L77 | A test might be to imagine yourself delivering a tough performance review to your friend
decidir_amistad_subordinado_prueba_revision_dificil | 5 | T | L77 | Do you cringe at the thought? If so, don
decidir_amistad_subordinado_prueba_revision_dificil | 6 | T | L77 | If your stomach remains unaffected, you are likely to be someone whose personal relationships will strengthen work relationships
elegir_estilo_direccion_madurez_relevante_tarea | 1 | T | L19 | That variable is the task-relevant maturity (TRM) of the subordinates, which is a combination of the degree of their achievement orientation
elegir_estilo_direccion_madurez_relevante_tarea | 2 | T | L19 | Moreover, all this is very specific to the task at hand
elegir_estilo_direccion_madurez_relevante_tarea | 3 | T | L23 | but if the pace of the job accelerates or if the job itself abruptly changes, the TRM of that individual will drop
elegir_estilo_direccion_madurez_relevante_tarea | 4 | T | L25 | Specifically, when the TRM is low, the most effective approach is one that offers very precise and detailed instructions
elegir_estilo_direccion_madurez_relevante_tarea | 5 | T | L25 | As the TRM of the subordinate grows, the most effective style moves from the structured to one more given to communication
elegir_estilo_direccion_madurez_relevante_tarea | 6 | T | L25 | As the TRM becomes even greater, the effective management style changes again
elegir_estilo_direccion_madurez_relevante_tarea | 7 | T | L25 | But regardless of what the TRM may be, the manager should always monitor a subordinate
elegir_estilo_direccion_madurez_relevante_tarea | 8 | T | L27 | A word of caution is in order: do not make a value judgment and consider a structured management style less worthy than a communication-oriented one
entregar_evaluacion_desempeno_tres_claves | 1 | T | L109 | You must level with your subordinate
entregar_evaluacion_desempeno_tres_claves | 2 | P | L111 | The aim of communication is to transmit thoughts from the brain of person A to the brain of person B. El paso dice el pensamiento completo y el libro dice thoughts y getting the right thought communicated is the end: el completo es mio. PUENTE de clausula, se reescribe con el pensamiento correcto del libro (D71.9)
entregar_evaluacion_desempeno_tres_claves | 3 | T | L113 | Is it enough to have your subordinate paraphrase your words? I don
entregar_evaluacion_desempeno_tres_claves | 4 | T | L115 | employing your entire arsenal of sensory capabilities to make certain your points are being properly interpreted
entregar_evaluacion_desempeno_tres_claves | 5 | T | L119 | So your own insecurities, anxieties, guilt, or whatever should be kept out of it
entregar_evaluacion_desempeno_tres_claves | 6 | T | L119 | You should work to control these emotions so that they don
guiar_subordinado_etapas_resistencia_desempeno | 1 | T | L167 | A poor performer has a strong tendency to ignore his problem, y L171 The supervisor should keep track of what stage things are in
guiar_subordinado_etapas_resistencia_desempeno | 2 | T | L167 | Here a manager needs facts and examples so that he can demonstrate its reality
guiar_subordinado_etapas_resistencia_desempeno | 3 | T | L167 | Evidence can overcome resistance here as well
guiar_subordinado_etapas_resistencia_desempeno | 4 | T | L167 | Instead he will blame others, a standard defense mechanism
guiar_subordinado_etapas_resistencia_desempeno | 5 | T | L171 | The supervisor should keep track of what stage things are in
guiar_subordinado_etapas_resistencia_desempeno | 6 | T | L179 | If it becomes clear that you are not going to get your subordinate past the blame-others stage, you will have to assume the formal role of the supervisor
preparar_resena_mixta_hoja_trabajo | 1 | T | L129 | You should scan material such as progress reports, performance against quarterly objectives, and one-on-one meeting notes
preparar_resena_mixta_hoja_trabajo | 2 | T | L129 | Then sit down with a blank piece of paper
preparar_resena_mixta_hoja_trabajo | 3 | T | L129 | When you have run out of items, you can put all of your supporting documentation away
preparar_resena_mixta_hoja_trabajo | 4 | T | L131 | look for relationships between the various items listed
preparar_resena_mixta_hoja_trabajo | 5 | T | L131 | When you find such relationships, you can start calling them
preparar_resena_mixta_hoja_trabajo | 6 | T | L131 | ask yourself if your subordinate will be able to remember all of the messages you have chosen to deliver
