# ARISTAS POR LECTURA (D.29, D.37, D.53) DE LA VUELTA 78 para las 20 fichas de Marquet (.v78ext/lista_barrido.txt), leidas con los
# pasos de los dos delante (python .v64aud/pasos.py <a> <b>, las 20 en .v78ext/pasos_20.txt) y mirando tambien madres que ya viven
# en el grafo, las de Zhuo y Scott las primeras (.v78ext/grafo_zhuo_scott.txt, y sus pasos en .v78ext/pasos_grafo.txt). Formato, el de
# .v76ext/aristas_lectura.txt: SOSTENGO o NO SOSTENGO | madre | hijo | paso de la madre y paso del hijo | linea del libro | razon. Se
# cablean en la vuelta que inserte estas 20, en el acto de insertar el hijo, con la madre ya en el grafo: python forja.py arista
# --madre --hijo --paso --razon. Lo DISCUTIBLE se marco al escribir la fila.
# LA VARA DE ESTA SEDE, y se dice porque aqui casi todas las filas son NO SOSTENGO: la arista es de DESPLIEGUE, no de calendario (ACTA M2 del
# frente de Marquet, seccion 3.5, sobre el esquema: nodos_previos son madres declaradas, no lo que va antes); y una enumeracion de
# mecanismos que no es nodo no es cabeza de nada (ACTA M3 del frente, M3.6.a, sobre la lista de la Parte II de cap_05 L115 a L129). Una
# madre es un nodo cuyo PASO nombra en una linea lo que el hijo despliega; si ningun paso de la madre nombra al hijo, no hay arista
# (la figura de D76.15, que la ACTA 75 sostuvo en el juego). Y la puerta contraria, que la ACTA 75 seccion 75.4 abrio en la
# contratacion de Gerber: si el hijo PARTE DEL PRODUCTO de la madre y el libro los encadena con palabras, es continuacion aunque ningun
# paso de la madre lo nombre.
#
# 1. ceder_control_reforzar_competencia_claridad, la unica ficha que nombra el puente y los pilares del libro (cap_01 L97):
NO SOSTENGO | ceder_control_reforzar_competencia_claridad | aplicar_ejercicio_codigo_genetico_control | madre paso 3 | cap_01 L97; cap_06 L117 | El paso 3 de la madre nombra la operacion, ceder el control reteniendo la responsabilidad, y no nombra ningun mecanismo; el hijo es uno de los mecanismos que el libro clasifica bajo CONTROL (FIND THE GENETIC CODE AND REWRITE IT is a mechanism for CONTROL, L117), y la lista de esos mecanismos (cap_05 L115 a L129) es un indice que no es nodo (M3.6.a). Un ejemplar de la categoria no es el despliegue del paso que nombra la categoria (DISCUTIBLE D78.11).
#    L29, el marinero de L37 a L43, las rutinas de L45 en adelante):
SOSTENGO | observar_reunion_rutinaria_senales_plantilla | seguir_frustrado_preguntar_implantacion_ideas | madre paso 7, hijo pasos 1 a 8 | cap_03 L21, L23 a L29 | D.29, con el criterio de la ACTA 75 seccion 75.4 (el hijo parte del producto de la madre y el libro los encadena con palabras). El paso 7 de la madre mira al que expone y lo encuentra frustrado y a la defensiva (L21); el hijo parte de ese hallazgo, su condicion es haber visto en una reunion a un responsable frustrado y su paso 1 sigue a ese mismo responsable (After the meeting I followed Dave to his stateroom, L23), y despliega en ocho pasos (L23 a L29) la conversacion que la madre no tiene. No es el calendario de la ACTA M2 3.5, donde los dos procedimientos eran independientes: aqui la entrada del hijo es la salida de un paso de la madre. Si el barrido de hoy levanta el par, su linea va CONTINUA en .v78ext/veredictos_listos.txt y la fila sale de aqui (DISCUTIBLE D78.13).
NO SOSTENGO | recorrer_organizacion_escuchar_plantilla | contar_firmas_cadena_tramite_parado | madre paso 3, hijo paso 1 | cap_03 L15, L37 | El hijo arranca dentro de uno de los paseos de la madre (During one of my walks around, L37), pero lo que despliega es el tramite parado y su cadena de firmas (L37 a L43), que ningun paso de la madre nombra. Calendario, no despliegue (DISCUTIBLE D78.13).
NO SOSTENGO | recorrer_organizacion_escuchar_plantilla | inspeccionar_reparto_informacion_notas_jefe | madre paso 3 | cap_03 L15, L45 | L45 pone el reparto de mensajes despues del paseo (Once I had acquainted myself with my men, I devoted time to observing some of the ship), y ningun paso de la madre nombra las rutinas ni el tablero de mensajes. Calendario (DISCUTIBLE D78.13).
NO SOSTENGO | recorrer_organizacion_escuchar_plantilla | auditar_formacion_premios_ultima_fila | madre paso 3 | cap_03 L15, L55 | La misma figura que la fila de arriba, con la formacion del muelle de L55 (DISCUTIBLE D78.13).
#
# 3. Los que el libro relaciona entre capitulos:
NO SOSTENGO | contar_firmas_cadena_tramite_parado | aplicar_ejercicio_codigo_genetico_control | madre paso 4 | cap_03 L39; cap_06 L83, L85, L101 | cap_06 L85 cambia justo la regla de la papeleta de permiso que cap_03 L39 cuenta (cross out XO and write in COB), pero el ejercicio del hijo es generico (L99 a L111): identifica donde vive la autoridad de decision en cualquier politica, no parte de la cadena contada, y el paso 4 de la madre abre la norma solo para leer quien firma. Ninguno contiene un paso del otro (DISCUTIBLE D78.14).
NO SOSTENGO | aplicar_ejercicio_codigo_genetico_control | asignar_responsable_unico_evolucion_planificada | madre paso 2 | cap_06 L103, L127 | L127 lo llama la siguiente iteracion (The next iteration was to make sure there was a chief who was in charge of every evolution), una ampliacion del poder de los jefes despues de la primera, y no el despliegue de un paso del ejercicio. Calendario.
NO SOSTENGO | informar_cierre_jornada_conservar_propiedad_trabajo | eliminar_seguimiento_descendente_responsabilizar_dueno | madre paso 5 | cap_04 L35; cap_09 L43 | cap_09 L43 toma el cierre de jornada como modelo (Why couldn’t we model our management of the tickler the same way), y un modelo no es una madre: ningun paso del cierre nombra el sistema de seguimiento.
NO SOSTENGO | declarar_intencion_reemplazar_peticion_permiso | resistir_dar_solucion_clasificar_decision_urgencia | madre paso 3 | cap_07 L55; cap_08 L25 | cap_08 L25 dice que intentaba dejar que los oficiales llevaran las cosas con I intend to, y el hijo es otro mecanismo de CONTROL con procedimiento propio. El frente ya leyo este par como hermanos (ACTA M4 y M9.4, fila 1).
#
# 4. Madres que ya viven en el grafo, las de Zhuo y Scott las primeras (ninguna senial las levanta en la lectura de este fichero; si el
#    barrido de hoy levanta alguna, su veredicto va en .v78ext/veredictos_listos.txt):
NO SOSTENGO | desplegar_plan_orden_operaciones_franqueza_radical | recorrer_organizacion_escuchar_plantilla | madre pasos 37 y 38 | scott_radical_candor; cap_03 L11, L15 | Los pasos 37 y 38 de la madre, Pasea por la organizacion, nombran el paseo del libro de Scott, cuyo despliegue es su propio nodo, pasear_organizacion_hallar_problemas_pequenios; el hijo es el recorrido de Marquet al tomar el mando (dejar los expedientes, los recorridos por jefe, la linterna, L15), otro procedimiento de otro libro. Hermanos de tema, no madre e hijo.
NO SOSTENGO | alinear_equipo_proposito_comun | reforzar_principios_guia_lenguaje_prueba_conocimiento | madre paso 4 | zhuo_manager; cap_14 L89, L99 | El paso 4 de la madre, compartir el proposito en cada ocasion, no nombra los principios guia ni su uso en premios y evaluaciones; son dos doctrinas de claridad de libros distintos.
NO SOSTENGO | comunicar_valores_diez_formas | repetir_mensaje_invariable_diario_reunion_evento | madre paso 3 | zhuo_manager; cap_13 L119 | No es despliegue sino FRONTERA DECLARADA (6.1, dos doctrinas legitimas): Zhuo manda decir el mensaje de diez formas distintas (paso 3) y Marquet manda no cambiarlo (Changing the message? That results in confusion, L119). Se escriben las dos con sus fuentes; ninguna es madre de la otra.
NO SOSTENGO | definir_quien_responde_cada_cosa | asignar_responsable_unico_evolucion_planificada | madre paso 8 | zhuo_manager; cap_06 L127 | Las dos piden dejar claro quien responde, pero la madre lo hace al cerrar una conversacion repartiendo por partes (paso 8) y el hijo con una linea de jefe a cargo en el documento de planificacion de cada evento (L127); ningun paso de una nombra el procedimiento de la otra. Hermanos de tema.
NO SOSTENGO | delegar_tarea_base_comun_seguimiento | eliminar_seguimiento_descendente_responsabilizar_dueno | madre paso 6 | grove_high_output; cap_09 L71, L73 | No es despliegue sino FRONTERA DECLARADA: Grove dice que delegar sin seguimiento es abdicar (paso 6), y Marquet quita el sistema de seguimiento de arriba y deja a cada dueno vigilar lo suyo (L71, L73), sin quitar la medicion que solo informa (L85). Dos doctrinas con sus fuentes.
#
# 5. D.37 en los titulos que dicen cuantas partes tienen: ceder_control_reforzar_competencia_claridad cuenta dos pilares que no son nodo
#    (arriba, D68.7); tomar_accion_deliberada_pausar_vocalizar_gesticular (tres gestos), repetir_mensaje_invariable_diario_reunion_evento
#    (tres ocasiones), resistir_dar_solucion_clasificar_decision_urgencia (tres plazos), inspeccionar_reparto_informacion_notas_jefe
#    (tres clases de mensaje), contar_firmas_cadena_tramite_parado (siete firmas) y declarar_intencion_reemplazar_peticion_permiso (las
#    dos listas de frases) cuentan partes que son sus propios pasos o sus objetos, y ninguna es un nodo (D68.7). El resumen de
#    ceder_control dice que el texto cuenta cuatro fases sin nombrarlas, y D.37 pide las dos cosas. SIN ARISTA D.37 EN ESTA TANDA.
