a	b	clase	madre	lectura
construir_empresa_plantilla_vision_diaria	recorrer_trece_elementos_proceso_evaluacion_formal	SANO		de fuera, Scott: la plantilla de la empresa medida cada noche y las trece decisiones del proceso de evaluacion comparten solo palabras (proceso, cada dia)
construir_estrategia_gente_cuatro_componentes	recorrer_siete_pasos_programa_desarrollo_negocio	CONTINUA	recorrer_siete_pasos_programa_desarrollo_negocio	cap_18 y cap_13: el hijo es el paso 5 que la madre nombra (paso 8, L53) desplegado con su composicion (L117 y L119), y su condicion es tener hechos los pasos 1 a 3 del mismo programa. Figura C1 y parte D.37 (d111). DUDA: la frontera de la vuelta 5 leyo los pasos 1 y 2 como METODO DENTRO del paso; si este se lee igual, SANO y sin arista a parte
construir_estrategia_gente_cuatro_componentes	medir_sistema_venta_trece_indicadores_benchmark	SANO		cap_18 y cap_19: los componentes de la estrategia de gente y los trece indicadores de venta no comparten paso
construir_estrategia_gente_cuatro_componentes	distinguir_tres_tipos_sistemas_negocio	SANO		cap_18 y cap_19: sin paso comun; los dos nombran piezas del programa, nombrar no es procedimentar
cuantificar_impacto_innovacion_6_pasos	dictar_ritmo_crecimiento_preguntas_escritas	SANO		cap_12 y cap_07: contar el efecto de una innovacion y planificar el crecimiento; comparten cuanto y cuantos, no procedimiento
cuantificar_impacto_innovacion_6_pasos	responder_primer_aviso_renuncia_subordinado	SANO		de fuera, Grove: sin paso comun
cuantificar_impacto_innovacion_6_pasos	pedir_critica_anonima_curso_entrenamiento_dictado	SANO		de fuera, Grove cap_17: los dos miden si algo hecho funciono, pero uno cuenta puertas y compras antes y despues y el otro pide un formulario anonimo tras un curso; objeto, instrumento y momento distintos
cuantificar_impacto_innovacion_6_pasos	entregar_evaluacion_desempeno_tres_claves	SANO		de fuera, Grove: sin paso comun
dar_valor_constante_cuatro_publicos	trazar_modelo_negocio_cliente_primero	SANO		cap_11 y cap_08: el valor como lo percibe la gente (L63) y el modelo que satisface necesidades percibidas (L109) comparten la palabra percibir; uno da valor a cuatro publicos y el otro traza el negocio desde el cliente, cada uno con procedimiento propio
dar_valor_constante_cuatro_publicos	documentar_trabajo_manual_operaciones	SANO		cap_11: reglas hermanas (1 y 4)
dar_valor_constante_cuatro_publicos	unificar_color_forma_vestuario_modelo	SANO		cap_11: reglas hermanas (1 y 6)
descubrir_motivacion_sentido_persona	dictar_ritmo_crecimiento_preguntas_escritas	SANO		de fuera, Scott: la motivacion de cada persona y el plan de crecimiento del negocio comparten la palabra crecimiento
dictar_ritmo_crecimiento_preguntas_escritas	hacer_trabajo_futuro_imaginar_negocio	SANO		cap_07 y cap_04: el trabajo futuro imagina que negocio seria (L285 a L291) y el plan dicta su ritmo con preguntas y por escrito (L279 a L287); los dos miran el futuro, cada uno con procedimiento propio, y ninguno usa el producto del otro
dictar_ritmo_crecimiento_preguntas_escritas	planificar_tres_pasos_demanda_estado_brecha	SANO		de fuera, Grove, el par mas cercano de la tanda: los dos planifican, pero Grove compara la demanda con el estado presente y concilia (pasos 2 a 6) y Gerber contesta sus preguntas de donde, cuando, cuanto capital, gente, tecnologia y espacio, con contingencias y por escrito (L279 a L287). Hay procedimiento fuera del solape en los dos lados: dos doctrinas legitimas (6.1), no duplicado
dictar_ritmo_crecimiento_preguntas_escritas	operar_modelo_gente_destreza_minima	SANO		cap_07 y cap_11: sin paso comun
dictar_ritmo_crecimiento_preguntas_escritas	responder_primer_aviso_renuncia_subordinado	SANO		de fuera, Grove: sin paso comun
dictar_ritmo_crecimiento_preguntas_escritas	interrogar_negocio_cinco_preguntas	SANO		cap_07 y cap_11: los dos son listas de preguntas sobre el negocio, pero preguntas distintas (L281 contra L255 a L263) y con destino distinto (un plan escrito contra constatar que no sabes las respuestas)
distinguir_tres_tipos_sistemas_negocio	medir_sistema_venta_trece_indicadores_benchmark	SANO		cap_19: MED es un Information System (L303 a L307), ejemplar y no la clase que TIP nombra en su paso 4
documentar_trabajo_manual_operaciones	unificar_color_forma_vestuario_modelo	SANO		cap_11: reglas hermanas (4 y 6)
operar_modelo_gente_destreza_minima	interrogar_negocio_cinco_preguntas	SANO		cap_11: la pregunta de OPE (resultado sistematico y no personal, L91) y las cinco de INT (L255 a L263) son preguntas distintas con procedimiento distinto
operar_modelo_gente_destreza_minima	responder_primer_aviso_renuncia_subordinado	SANO		de fuera, Grove: sin paso comun
probar_traje_azul_seis_semanas	responder_4_preguntas_estandares_objetivo_estrategico	SANO		cap_12 y cap_15: el test de vestuario y el estandar de vestimenta del Objetivo Estrategico (L177, clothing) comparten una palabra; uno prueba y otro fija estandares
dar_valor_constante_cuatro_publicos	probar_traje_azul_seis_semanas	SANO		cap_11 y cap_12: sin paso comun
responder_4_preguntas_estandares_objetivo_estrategico	responder_8_preguntas_construir_primary_aim	SANO		cap_15 y cap_14: dos listas de preguntas de dos pasos seguidos del programa; ninguno de los cinco pasos del de cap_15 usa las respuestas del Primary Aim, y su condicion son los dos primeros estandares (L45 a L97). DUDA menor: cap_15 L21 encadena el Objetivo Estrategico a tener el retrato de la vida; si esa linea basta, CONTINUA con madre responder_8
