# Vuelta 68, TAREA 3.1: la relectura de fidelidad ENTERA (D.30, D.58) de los 20 de cap_05 y cap_06, paso a paso contra
# fuentes/grove_high_output/cap_05.md (175 lineas) y cap_06.md (95 lineas), leidos enteros en esta vuelta. Marca: T
# transcripcion, P puente (entero o de clausula; la clausula reescrita CUENTA como P, ACTA 62 62.5). Separador: barra
# vertical. Formato de .v66ext/fidelidad.tsv. Las citas van recortadas; la linea la localiza .v68ext/citas.sh, con su salida
# en .v68ext/citas_fidelidad.txt. Lo marcado DISCUTIBLE se marco al escribir la fila, antes de ninguna comprobacion.
# id | paso | marca | linea | lo que decide la marca
infundir_regularidad_reunion_proceso | 1 | T | L21 | To make the most of this kind of meeting, we should aim to infuse it with regularity
programar_reunion_individual_cadena | 1 | T | L57 | One-on-ones should be scheduled on a rolling basis
programar_reunion_individual_cadena | 2 | T | L57 | setting up the next one as the meeting taking place ends
programar_reunion_individual_cadena | 3 | T | L57 | Other commitments can thereby be taken into account and cancellations avoided
programar_reunion_individual_cadena | 4 | T | L57 | If the supervisor uses a set schedule for a one-on-one, such as every second Wednesday morning
programar_reunion_individual_cadena | 5 | T | L57 | By scheduling on a rolling basis, this can be easily avoided
conducir_etapas_modelo_ideal_decision | 1 | T | L23 | The first stage should be free discussion, in which all points of view and all aspects of an issue are openly welcomed and debated
conducir_etapas_modelo_ideal_decision | 2 | T | L23 | The greater the disagreement and controversy, the more important becomes the word free
conducir_etapas_modelo_ideal_decision | 3 | T | L23 | Usually when a meeting gets heated, participants hang back, trying to sense the direction of things. El vigila es verbo de marco sobre la practica que el libro describe
conducir_etapas_modelo_ideal_decision | 4 | T | L23 | because if knowledgeable people withhold opinions, whatever is decided will be based on information and insight less complete
conducir_etapas_modelo_ideal_decision | 5 | T | L27 | The next stage is reaching a clear decision
conducir_etapas_modelo_ideal_decision | 6 | T | L27 | particular pains should be taken to frame the terms of the decision with utter clarity
conducir_etapas_modelo_ideal_decision | 7 | T | L27 | when we know a decision is controversial we want to obscure matters to avoid an argument
conducir_etapas_modelo_ideal_decision | 8 | T | L27 | will be a lot madder if they don
conducir_etapas_modelo_ideal_decision | 9 | T | L29 | Finally, everyone involved must give the decision reached by the group full support
conducir_etapas_modelo_ideal_decision | 10 | T | L29 | This does not necessarily mean agreement
conducir_etapas_modelo_ideal_decision | 11 | T | L29 | No matter how much time we may spend trying to forge agreement
conducir_etapas_modelo_ideal_decision | 12 | T | L29 | All a manager can expect is that the commitment to support is honestly present. La clausula y no solo a algunos glosa el everyone del libro (DISCUTIBLE D68.3)
decidir_nivel_competente_inferior | 1 | T | L33 | any decision be worked out and reached at the lowest competent level
decidir_nivel_competente_inferior | 2 | T | L33 | people who are closest to the situation and know the most about it
decidir_nivel_competente_inferior | 3 | T | L33 | That kind of expertise must be tempered with judgment
decidir_nivel_competente_inferior | 4 | T | L33 | which is developed through experience and learning from the many errors one has made
decidir_nivel_competente_inferior | 5 | T | L33 | decision-making should occur in the middle ground
decidir_nivel_competente_inferior | 6 | T | L33 | you should aim to get the best possible mix of participants available
decidir_nivel_competente_inferior | 7 | T | L33 | For experience, we at Intel are likely to ask a person in management senior to the other members of the group to come to the meeting. El libro cuenta la costumbre de Intel y el paso la pone de mandato (DISCUTIBLE D68.4)
decidir_nivel_competente_inferior | 8 | T | L33 | But it is very important that everybody there voice opinions and beliefs as equals throughout the free discussion stage
vencer_sindrome_grupo_pares_autoconfianza | 1 | T | L49 | You can overcome the peer-group syndrome if each of the members has self-confidence
vencer_sindrome_grupo_pares_autoconfianza | 2 | T | L49 | which stems in part from being familiar with the issue under consideration
vencer_sindrome_grupo_pares_autoconfianza | 3 | T | L49 | and from experience
vencer_sindrome_grupo_pares_autoconfianza | 4 | T | L49 | nobody has ever died from making a wrong business decision, or taking inappropriate action, or being overruled
vencer_sindrome_grupo_pares_autoconfianza | 5 | T | L49 | And everyone in your operation should be made to understand this. La clausula y no solo los que se sientan a la mesa glosa el everyone in your operation (DISCUTIBLE D68.3)
tomar_mando_reunion_pares_presidente_ausente | 1 | T | L51 | If the peer-group syndrome manifests itself, and the meeting has no formal chairman
tomar_mando_reunion_pares_presidente_ausente | 2 | T | L51 | the person who has the most at stake should take charge
tomar_mando_reunion_pares_presidente_ausente | 3 | T | L51 | one can always ask the senior person present to assume control. El paso dice pide siempre que puedas donde el libro dice que siempre se puede pedir; el objeto y el orden son del libro (DISCUTIBLE D68.6)
tomar_mando_reunion_pares_presidente_ausente | 4 | T | L51 | He is likely to be no more expert in the issues at hand than other members of the group
tomar_mando_reunion_pares_presidente_ausente | 5 | T | L51 | a repository of knowledge about how decisions should be made
tomar_mando_reunion_pares_presidente_ausente | 6 | T | L51 | and give the group the confidence needed to make a decision
ejercer_poder_posicion_etapa_decision_clara | 1 | T | L61 | Sometimes no amount of discussion will produce a consensus, yet the time for a decision has clearly arrived
ejercer_poder_posicion_etapa_decision_clara | 2 | T | L61 | who until now has guided, coached, and prodded the group along has no choice but to make a decision himself
ejercer_poder_posicion_etapa_decision_clara | 3 | T | L61 | If the decision-making process has proceeded correctly up to this point
ejercer_poder_posicion_etapa_decision_clara | 4 | T | L61 | for the senior person to wield position-power authority if the clear decision stage is reached and no consensus has developed
ejercer_poder_posicion_etapa_decision_clara | 5 | T | L61 | for him to wield that authority any earlier
ejercer_poder_posicion_etapa_decision_clara | 6 | T | L61 | We Americans tend to be reluctant to exercise position power deliberately and explicitly
ejercer_poder_posicion_etapa_decision_clara | 7 | T | L61 | Such reluctance on the part of the senior manager can prolong the first phase of the decision-making process
cortar_discusion_libre_momento_justo | 1 | T | L63 | If you either enter the decision-making stage too early or wait too long
cortar_discusion_libre_momento_justo | 2 | T | L63 | The criterion to follow is this
cortar_discusion_libre_momento_justo | 3 | T | L63 | Make sure you have heard and considered the real issues rather than the superficial comments
cortar_discusion_libre_momento_justo | 4 | T | L63 | But if you feel that you have already heard everything, that all sides of the issue have been raised, it is time to push for a consensus
cortar_discusion_libre_momento_justo | 5 | T | L63 | to step in and make a decision
cortar_discusion_libre_momento_justo | 6 | T | L63 | people can drift away from the near consensus when they are close to being right
cortar_discusion_libre_momento_justo | 7 | T | L63 | So moving on to make the decision at the right time is crucial
zanjar_seis_preguntas_decision_adelantado | 1 | T | L65 | decision-making has an output associated with it, which in this case is the decision itself
zanjar_seis_preguntas_decision_adelantado | 2 | T | L65 | if we say clearly at the outset that we expect exactly that
zanjar_seis_preguntas_decision_adelantado | 3 | T | L65 | key tasks is to settle six important questions in advance
zanjar_seis_preguntas_decision_adelantado | 4 | T | L67 | What decision needs to be made
zanjar_seis_preguntas_decision_adelantado | 5 | T | L69 | When does it have to be made
zanjar_seis_preguntas_decision_adelantado | 6 | T | L71 | Who will decide
zanjar_seis_preguntas_decision_adelantado | 7 | T | L73 | Who will need to be consulted prior to making the decision
zanjar_seis_preguntas_decision_adelantado | 8 | T | L75 | Who will ratify or veto the decision
zanjar_seis_preguntas_decision_adelantado | 9 | T | L77 | Who will need to be informed of the decision
anunciar_decision_inesperada_reconvocar_reunion | 1 | T | L93 | If the final word has to be dramatically different from the expectations of the people who participated
anunciar_decision_inesperada_reconvocar_reunion | 2 | T | L93 | make your announcement
anunciar_decision_inesperada_reconvocar_reunion | 3 | T | L93 | walk away from the issue
anunciar_decision_inesperada_reconvocar_reunion | 4 | T | L93 | People need time to adjust, rationalize, and in general put their heads back together
anunciar_decision_inesperada_reconvocar_reunion | 5 | T | L93 | Adjourn, reconvene the meeting
anunciar_decision_inesperada_reconvocar_reunion | 6 | T | L93 | reconvene the meeting after people have had a chance to recover
anunciar_decision_inesperada_reconvocar_reunion | 7 | T | L93 | and solicit their views of the decision at that time
anunciar_decision_inesperada_reconvocar_reunion | 8 | T | L93 | This will help everybody accept and learn to live with the unexpected
