# ARISTAS POR LECTURA (D.29, D.53) DE LA VUELTA 68 para los 20 de cap_05 y cap_06: las que la senial NO levanta en ningun
# sentido en el barrido de hoy (.v68ext/vecinos_<id>.json, poblacion 479, 390 grafo mas 89 bandejas). Las madres del grafo
# no se barrieron hoy, asi que "ningun sentido" quiere decir: el hijo no las levanta, y si la madre es de los 20, ella tampoco.
# Las que la senial SI levanta van como CONTINUA en .v68ext/veredictos_listos.txt y no aqui.
# Formato, el de .v66ext/aristas_lectura.txt: SOSTENGO o NO SOSTENGO | madre | hijo | paso de la madre y paso del hijo | linea del libro | razon
# Se cablean en la 70 en el acto de insertar el hijo, con la madre ya en el grafo: python forja.py arista --madre --hijo --paso --razon.
# Lo DISCUTIBLE se marco al escribir la fila.
SOSTENGO | agrupar_tareas_semejantes_aprovechar_preparacion | infundir_regularidad_reunion_proceso | madre paso 3, hijo paso 5 | cap_05 L21 | El paso 5 del hijo disena la reunion de proceso para agrupar transacciones en tanda, usando el mismo tiempo y esfuerzo de preparacion para muchas tareas de mando semejantes (L21, It should be designed to allow a manager to batch transactions), que es el procedimiento que la madre despliega (paso 3, usa un mismo esfuerzo de preparacion y aplicalo a todo un grupo de actividades semejantes; cap_04 L269 a L271). El hijo lo aplica a la reunion y anade lo que la madre no tiene: que los asistentes sepan como se lleva, que se trata y que hay que conseguir (pasos 2 a 4), y el pronostico que la regularidad permite (pasos 6 a 8). Misma figura que la de la madre a agrupar_interrupciones_subordinados_reuniones_regulares, sostenida en la ACTA 65 65.4.b y cableada en la vuelta 68. La senial no lo levanta: el hijo no levanta a la madre.
NO SOSTENGO | conducir_etapas_modelo_ideal_decision | vencer_sindrome_grupo_pares_autoconfianza, tomar_mando_reunion_pares_presidente_ausente | madre paso 3 | cap_06 L39, L49, L51 | El tramo del sindrome del grupo de pares abre diciendo que el modelo cuesta de implantar (L39, The model is also hard to implement) y los dos vecinos son remedios de lo que lo traba; pero ninguno usa el producto de la madre ni despliega una etapa: el primero trabaja la autoconfianza de cada miembro (L49) y el segundo dice quien toma el mando en una reunion de iguales sin presidente (L51). El paso 3 de la madre vigila otra practica, la del que espera a oir al superior (L23), que L47 separa del sindrome. SANO (DISCUTIBLE D68.14).
# D.37, mirado. usar_tres_clases_reunion_proceso dice cuantas clases tiene (tres) y las nombra (L23): ninguna de las tres es un nodo
# (el uno a uno lo despliegan sus preguntas, que van arriba por D.29 y en los veredictos, figura de C1; la reunion de personal y la
# revision de operaciones no tienen ficha). zanjar_seis_preguntas_decision_adelantado dice cuantas preguntas tiene (seis) y las nombra
# (L67 a L77): ninguna es un nodo. conducir_etapas_modelo_ideal_decision nombra sus tres etapas sin decir cuantas: no es D.37 sino
# D.29, y sus dos aristas van arriba. Ninguna arista cabeza a parte que declarar.
# EN ESPERA, no se cablea en la 70 porque la madre esta en la bandeja de cap_13 y no entra antes que el hijo (DISCUTIBLE D68.15):
# elegir_estilo_direccion_madurez_relevante_tarea > fijar_frecuencia_reunion_individual_madurez_tarea | madre pasos 1, 4 a 6, hijo
# paso 5 | cap_05 L33 | El paso 5 del hijo nombra en una linea el procedimiento que la madre despliega, el estilo de mando que va de la
# supervision muy estrecha a la muy suelta segun la madurez de tarea (L33, As we will see later), y el hijo saca de ahi la frecuencia
# (Accordingly). La senial no lo levanta: el hijo no levanta a la madre. Se declara cuando entre la madre, con el hijo ya en el grafo.
# vuelta 69, D.37 corregido por la relectura conjunta de D68.7 (DISCUTIBLE D69.2): el comentario D.37 de arriba dice que el uno
# a uno lo despliegan sus preguntas, que van arriba por D.29 y en los veredictos, figura de C1. Desde la vuelta 69 ninguna de
# esas preguntas cuelga de la cabeza: todas quedan SANO o NO SOSTENGO con ella, porque la cabeza solo nombra las tres clases.
# Lo que D.37 decidia no cambia: ninguna de las tres clases es un nodo, y no hay arista cabeza a parte que declarar.
# vuelta 69, relectura conjunta de D68.15 (ACTA 67 67.4.d), con las dos lecturas para d170 (DISCUTIBLE D69.3). SIGUE EN ESPERA y
# no toca a la 70. LA DE LA 68: SOSTENGO aplazada, porque L33 deriva la frecuencia del principio del estilo (As we will see later,
# Accordingly) y el paso 5 del hijo lo nombra. LA DEL AUDITOR: NO, porque el paso 5 del hijo es un Cuenta con que nombra el
# principio, el producto de la madre es un estilo elegido para un subordinado y ningun paso del hijo lo usa. MI LECTURA DE LA 69: NO.
# El hijo no parte del estilo elegido: mide la madurez el mismo (paso 3, L33, how much experience does a given subordinate have with
# the specific task at hand) y saca la frecuencia de esa madurez (pasos 6 y 7) y del ritmo del area (pasos 8 a 10, L35). Lo que
# comparte con la madre es la madurez de tarea y el principio que la madre despliega (pasos 4 a 6), no su producto; As we will
# see later es una remision del libro, y una remision es metadato (P.17). Si la aduana de la vuelta que inserte la madre levanta
# el par, es linea de veredicto SANO; si no lo levanta, no hay arista que declarar. d170 no se paga aqui.
