id	paso	clase	linea_cap_04	lectura
detectar_palanca_negativa_actividad_mando	8	T	L235	if a senior manager sees an indicator showing an undesirable trend and dictates ... that is managerial meddling
detectar_palanca_negativa_actividad_mando	9	T	L235	the subordinate will begin to take a much more restricted view ... less initiative
delegar_tarea_base_comun_seguimiento	1	T	L245	Because managerial time has a hierarchy of values, delegation is an essential aspect
delegar_tarea_base_comun_seguimiento	2	T	L245	must share a common information base and a common set of operational ideas ... frequently not met; "comprueba" traslada el "must" de un requisito, no anade acto
delegar_tarea_base_comun_seguimiento	3	T	L245	an effective proxy only with specific instructions. As in meddling ... low managerial leverage
delegar_tarea_base_comun_seguimiento	4	T	L247	some things that we do not really want to delegate simply because we like doing them; el "Revisa" lo sostiene "be sure to know exactly what you are doing"
delegar_tarea_base_comun_seguimiento	5	T	L247	a conscious decision ... avoid the charade of insincere delegation ... immense negative managerial leverage
delegar_tarea_base_comun_seguimiento	6	T	L249	delegation without follow-through is abdication
delegar_tarea_base_comun_seguimiento	7	T	L249	You can never wash your hands of a task ... monitoring the delegated task is the only practical way
delegar_tarea_base_comun_seguimiento	8	T	L249	Monitoring is not meddling, but means checking to make sure an activity is proceeding in line with expectations
delegar_tarea_base_comun_seguimiento	9	T	L249	if you have a choice you should delegate those activities you know best
delegar_tarea_base_comun_seguimiento	10	T	L249	recall the pencil experiment ... go against your emotional grain
supervisar_tarea_delegada_etapa_menor_valor	1	T	L253	Monitoring the results of delegation resembles the monitoring used in quality assurance
supervisar_tarea_delegada_etapa_menor_valor	2	T	L253	monitor at the lowest-added-value stage of the process
supervisar_tarea_delegada_etapa_menor_valor	3	T	L253	review rough drafts of reports that you have delegated; do not wait until ... polishing them
supervisar_tarea_delegada_etapa_menor_valor	4	T	L253	A variable approach ... different sampling schemes with various subordinates
supervisar_tarea_delegada_etapa_menor_valor	5	T	L253	increase or decrease your frequency depending on ... newly delegated task or one that he has experience handling
supervisar_tarea_delegada_etapa_menor_valor	6	T	L253	not ... what you believe your subordinate can do in general, but on his experience with a specific task ... task-relevant maturity
supervisar_tarea_delegada_etapa_menor_valor	7	T	L253	a corresponding reduction in the intensity of the monitoring
supervisar_tarea_delegada_etapa_menor_valor	8	T	L255	only go into details randomly, just enough to try to ensure
supervisar_tarea_delegada_etapa_menor_valor	9	T	L255	like quality assurance testing 100 percent of what manufacturing turned out
supervisar_decision_delegada_preguntas_concretas	1	T	L257	Making certain types of decisions is something managers frequently delegate
supervisar_decision_delegada_preguntas_concretas	2	T	L257	How is this best done? By monitoring their decision-making process
supervisar_decision_delegada_preguntas_concretas	3	T	L257	think through the entire matter carefully before presenting a request for approval
supervisar_decision_delegada_preguntas_concretas	4	T	L257	we ask him quite specific questions about his request during a review meeting
supervisar_decision_delegada_preguntas_concretas	5	T	L257	If he answers them convincingly, we will approve what he wants
supervisar_decision_delegada_preguntas_concretas	6	T	L257	find out how good the thinking is without having to go through it ourselves
identificar_paso_limitante_jornada_desfases	1	T	L267	These time-management suggestions can be improved upon ... by applying our production principles
identificar_paso_limitante_jornada_desfases	2	T	L267	First, we must identify our limiting step: what is the "egg" in our work?
identificar_paso_limitante_jornada_desfases	3	T	L267	some things really have to happen on a schedule that is absolute ... There is no "give" in the time here
identificar_paso_limitante_jornada_desfases	4	T	L267	I have to create offsets and schedule my other work around this limiting step
identificar_paso_limitante_jornada_desfases	5	T	L267	if we determine what is immovable and manipulate the more yielding activities around it
agrupar_tareas_semejantes_aprovechar_preparacion	1	T	L269	A second production principle ... is batching similar tasks
agrupar_tareas_semejantes_aprovechar_preparacion	2	T	L269 y L271	Any manufacturing operation requires a certain amount of set-up time; Set-up time has many parallels in managerial work
agrupar_tareas_semejantes_aprovechar_preparacion	3	T	L269	use the same set-up effort to apply across a group of similar activities
agrupar_tareas_semejantes_aprovechar_preparacion	4	T	L271	once we have prepared a set of illustrations for a training class ... use the same set over and over again
agrupar_tareas_semejantes_aprovechar_preparacion	5	T	L271	a number of reports to read or ... performance reviews to approve, he should set aside a block of time and do a batch
agrupar_tareas_semejantes_aprovechar_preparacion	6	T	L271	to maximize the use of the mental set-up time needed for the task
decir_no_trabajo_excede_capacidad	1	T	L277	manufacturing people trust their indicators ... will not allow material to begin its journey ... at capacity
decir_no_trabajo_excede_capacidad	2	T	L277	material might go halfway through and back up behind a bottleneck
decir_no_trabajo_excede_capacidad	3	T	L277	factory managers say "no" at the outset and keep the start level from overloading the system
decir_no_trabajo_excede_capacidad	4	T	L277	Other kinds of managers find this hard ... indicators of capacity are not as well established or not as believable
decir_no_trabajo_excede_capacidad	5	T	L277	How much time do you need to read your mail ... you surely have a feel for the time required
decir_no_trabajo_excede_capacidad	6	T	L277	you should exploit that sense to schedule your work
decir_no_trabajo_excede_capacidad	7	T	L279 y L283	you must accept responsibility for two things ... 2. You should say "no" at the outset to work beyond your capacity
decir_no_trabajo_excede_capacidad	8	T	L285	say "no" earlier rather than later ... higher value stage and then abort ... losing more money and time
decir_no_trabajo_excede_capacidad	9	T	L285	either explicitly or implicitly, because by not delivering you end up saying what amounts to "no"
decir_no_trabajo_excede_capacidad	10	T	L285	your time is your one finite resource ... saying "yes" to one thing you are inevitably saying "no" to another
usar_calendario_herramienta_planificacion_produccion	1	T	L273	a job shop ... service any customer who drops in ... A factory ... run by forecast and not by individual order; el imperativo lo sostiene "literally like running an efficient factory" de la misma linea
usar_calendario_herramienta_planificacion_produccion	2	T	L273	a large portion of managerial work can be forecasted
usar_calendario_herramienta_planificacion_produccion	3	T	L273	forecasting those things you can and setting yourself up to do them ... minimize the feeling and the reality of fragmentation
usar_calendario_herramienta_planificacion_produccion	4	T	L275	What is the medium of a manager forecast? ... his calendar
usar_calendario_herramienta_planificacion_produccion	5	T	L275	a repository of "orders" that come in ... This is mindless passivity
usar_calendario_herramienta_planificacion_produccion	6	T	L275	use his calendar as a "production" planning tool ... schedule work that is not time-critical between those "limiting steps"
usar_calendario_herramienta_planificacion_produccion	7	T	L279 y L281	1. You should move toward the active use of your calendar ... fill the holes between the time-critical events
llevar_inventario_proyectos_discrecionales	1	T	L289	very nearly the opposite. A manager should carry a raw material inventory in terms of projects
llevar_inventario_proyectos_discrecionales	2	T	L289	not to be confused with his work-in-process inventory ... tends to spoil or become obsolete
llevar_inventario_proyectos_discrecionales	3	T	L289	things you need to do but do not need to finish right away
llevar_inventario_proyectos_discrecionales	4	T	L289	discretionary projects ... to increase his group productivity over the long term
llevar_inventario_proyectos_discrecionales	5	T	L289	Without such an inventory ... use his free time meddling in his subordinates work
dimensionar_numero_subordinados_medio_dia_semanal	1	T	L295	An important component of managerial leverage is the number of subordinates ... bogged down; "Cuenta cuantos" es el acto minimo para aplicar la regla del paso 2, no anade producto
dimensionar_numero_subordinados_medio_dia_semanal	2	T	L295	six to eight subordinates; three or four are too few and ten are too many
dimensionar_numero_subordinados_medio_dia_semanal	3	T	L295	allocate about a half day per week to each of his subordinates
dimensionar_numero_subordinados_medio_dia_semanal	4	T	L295	Two days a week per subordinate would probably lead to meddling; an hour a week does not provide enough opportunity for monitoring
dimensionar_numero_subordinados_medio_dia_semanal	5	T	L297	right for the classically hierarchical manager whose primary work is the supervision of others
dimensionar_numero_subordinados_medio_dia_semanal	6	T	L297	know-how manager ... servicing a number of varied "customers" as an internal consultant can in itself be a full-time job
dimensionar_numero_subordinados_medio_dia_semanal	7	T	L297	a half day per week as a member of a planning, advisory, or coordinating group has the equivalent of a subordinate
dimensionar_numero_subordinados_medio_dia_semanal	8	T	L297	both a hierarchical supervisor and a supplier of know-how ... a total of six to eight subordinates or their equivalent
dimensionar_numero_subordinados_medio_dia_semanal	9	T	L299	an engineering section and a production section ... might then choose to "act" as one of the two subordinates
dimensionar_numero_subordinados_medio_dia_semanal	10	T	L299	the manufacturing manager will still report to him ... does not have the engineers appearing to be at the same organizational level ... take exception to
dimensionar_numero_subordinados_medio_dia_semanal	11	T	L301	avoid forcing the plant manager either into on-the-job retirement or into meddling
buscar_regularidad_bloques_iguales_trabajo_mando	1	T	L305	strive toward regularity
buscar_regularidad_bloques_iguales_trabajo_mando	2	T	L305	customers arrived in a steady and predictable stream ... smooth out our workload as much as possible
buscar_regularidad_bloques_iguales_trabajo_mando	3	T	L305	take on the characteristics of a factory, not a job shop
buscar_regularidad_bloques_iguales_trabajo_mando	4	T	L305	prevent little stops and starts in our day as well as interruptions brought on by big emergencies
buscar_regularidad_bloques_iguales_trabajo_mando	5	T	L305	looking for sources of future high-priority trouble by cutting windows into the black box
buscar_regularidad_bloques_iguales_trabajo_mando	6	T	L305	a time bomb ... address a problem when you want to, not after the bomb has gone off
buscar_regularidad_bloques_iguales_trabajo_mando	7	T	L307	you can only move toward regularity if others do too
buscar_regularidad_bloques_iguales_trabajo_mando	8	T	L307	the same blocks of time must be used for like activities
buscar_regularidad_bloques_iguales_trabajo_mando	9	T	L307	Monday mornings have been set aside ... planning groups meet ... free of scheduling conflicts
preparar_respuestas_estandar_interrupciones_repetidas	1	T	L315	There are better ways. Let us apply a production concept. Manufacturers turn out standard products
preparar_respuestas_estandar_interrupciones_repetidas	2	T	L315	if you can pin down what kind of interruptions you are getting
preparar_respuestas_estandar_interrupciones_repetidas	3	T	L315	prepare standard responses for those that pop up most often
preparar_respuestas_estandar_interrupciones_repetidas	4	T	L315	Customers do not come up with totally new questions ... the same ones tend to surface repeatedly
preparar_respuestas_estandar_interrupciones_repetidas	5	T	L315	reduce time spent handling interruptions using standard responses
preparar_respuestas_estandar_interrupciones_repetidas	6	T	L315	Having them available also means that a manager can delegate much of the job to less experienced personnel
agrupar_interrupciones_subordinados_reuniones_regulares	1	T	L317	the production principle of batching, that is, handling a group of similar chores at one time
agrupar_interrupciones_subordinados_reuniones_regulares	2	T	L317	many interruptions that come from your subordinates can be accumulated and handled not randomly
agrupar_interrupciones_subordinados_reuniones_regulares	3	T	L317	at staff and at one-on-one meetings
agrupar_interrupciones_subordinados_reuniones_regulares	4	T	L317	If such meetings are held regularly; la condicion del libro pasada a imperativo, sin acto nuevo
agrupar_interrupciones_subordinados_reuniones_regulares	5	T	L317	people can not protest too much if they are asked to batch questions and problems for scheduled times
canalizar_interrupciones_cartel_hora_oficina	1	T	L321	If the people who interrupt you knew how much they were disturbing you, they would probably police themselves
canalizar_interrupciones_cartel_hora_oficina	2	T	L321	force his frequent interrupters to make an active decision about whether an issue can wait
canalizar_interrupciones_cartel_hora_oficina	3	T	L321	hang a sign on his door that says, I am doing individual work ... until 2:00
canalizar_interrupciones_cartel_hora_oficina	4	T	L321	Then hold an open office hour, and be completely receptive to anybody who wants to see you
canalizar_interrupciones_cartel_hora_oficina	5	T	L321	understand that interrupters have legitimate problems that need to be handled
canalizar_interrupciones_cartel_hora_oficina	6	T	L321	channel the time ... into organized, scheduled form by providing an alternative to interruption
canalizar_interrupciones_cartel_hora_oficina	7	T	L323	impose a pattern on the way a manager copes with problems
canalizar_interrupciones_cartel_hora_oficina	8	T	L323	To make something regular that was once irregular is a fundamental production principle
